Date;Group;Series;Value;Group;Series;Value
7/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,64
8/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,5675
9/09/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
10/09/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
11/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,64
12/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,76
13/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,71
14/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,775
15/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,715
16/09/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
17/09/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
18/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,8225
19/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,84
20/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,865
21/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,83
22/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,8075
23/09/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
24/09/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
25/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,64
26/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,6625
27/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,6125
28/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,6525
29/09/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,6825
30/09/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
1/10/2000;Riksbank key interest rates;Policy rate;N/A;Currencies against Swedish kronor;1 USD;N/A
2/10/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,6275
3/10/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,725
4/10/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,805
5/10/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,78
6/10/2000;Riksbank key interest rates;Policy rate;3,75;Currencies against Swedish kronor;1 USD;9,7925
