"Date","Price","Open","High","Low","Change %"
"24/01/2017","3.780","3.760","3.780","3.760","0.53%"
"23/01/2017","3.760","3.760","3.780","3.760","0.00%"
"21/01/2017","3.760","3.760","3.760","3.760","0.00%"
"20/01/2017","3.760","3.760","3.760","3.760","0.27%"
"19/01/2017","3.750","3.780","3.780","3.750","-0.79%"
"18/01/2017","3.780","3.780","3.810","3.780","0.00%"
"17/01/2017","3.780","3.780","3.780","3.780","0.27%"
"16/01/2017","3.770","3.760","3.780","3.760","0.27%"
"14/01/2017","3.760","3.770","3.770","3.760","-0.27%"
"13/01/2017","3.770","3.760","3.770","3.760","0.27%"
"12/01/2017","3.760","3.760","3.760","3.760","0.53%"
"11/01/2017","3.740","3.740","3.740","3.740","-0.80%"
"10/01/2017","3.770","3.770","3.770","3.770","1.34%"
"09/01/2017","3.720","3.710","3.720","3.710","0.00%"
"07/01/2017","3.720","3.720","3.720","3.720","0.00%"
"06/01/2017","3.720","3.720","3.720","3.720","-0.53%"
"05/01/2017","3.740","3.800","3.800","3.740","-1.58%"
"04/01/2017","3.800","3.800","3.800","3.750","0.00%"
"03/01/2017","3.800","3.800","3.800","3.800","-0.52%"
"02/01/2017","3.820","3.820","3.820","3.820","0.00%"
"31/12/2016","3.820","3.850","3.850","3.820","0.00%"
"30/12/2016","3.820","3.820","3.850","3.820","0.00%"
"29/12/2016","3.820","3.830","3.830","3.820","-0.26%"
"28/12/2016","3.830","3.830","3.830","3.830","-1.03%"
"27/12/2016","3.870","3.870","3.870","3.870","-0.26%"
"26/12/2016","3.880","3.880","3.880","3.880","-0.77%"
"24/12/2016","3.910","3.910","3.910","3.910","0.00%"
"23/12/2016","3.910","3.900","3.910","3.900","0.00%"
"22/12/2016","3.910","3.910","3.920","3.910","0.77%"
"21/12/2016","3.880","3.880","3.890","3.880","-1.77%"
"20/12/2016","3.950","3.950","3.950","3.950","1.54%"
"19/12/2016","3.890","3.880","3.890","3.880","0.52%"
"17/12/2016","3.870","3.870","3.870","3.870","0.00%"
"16/12/2016","3.870","3.800","3.870","3.800","1.84%"
"15/12/2016","3.800","3.870","3.870","3.870","-2.56%"
"14/12/2016","3.900","3.900","3.900","3.900","0.00%"
"13/12/2016","3.900","3.910","3.910","3.900","-1.27%"
"12/12/2016","3.950","3.950","3.950","3.950","0.25%"
"10/12/2016","3.940","3.940","3.940","3.940","0.00%"
"09/12/2016","3.940","3.930","3.940","3.930","-0.25%"
"08/12/2016","3.950","3.950","3.950","3.950","0.00%"
"07/12/2016","3.950","3.990","3.990","3.950","0.00%"
"06/12/2016","3.950","3.950","3.950","3.950","-1.74%"
"05/12/2016","4.020","4.050","4.050","4.020","-2.43%"
"03/12/2016","4.120","4.120","4.120","4.120","0.00%"
"02/12/2016","4.120","4.220","4.220","4.120","-2.37%"
"01/12/2016","4.220","4.220","4.220","4.200","0.00%"
"30/11/2016","4.220","4.220","4.220","4.220","-0.47%"
"29/11/2016","4.240","4.250","4.250","4.230","-0.47%"
"28/11/2016","4.260","4.260","4.270","4.260","-0.70%"
"26/11/2016","4.290","4.290","4.290","4.290","0.00%"
"25/11/2016","4.290","4.300","4.300","4.290","0.23%"
